Assessor Book,Assessor Page,Assessor Parcel,# of Accessory Dwelling Units
5423.0,017,007,1.0
5015.0,006,029,1.0
4246.0,026,015,1.0
5539.0,024,012,2.0
2036.0,021,027,1.0
2131.0,019,007,1.0
2784.0,006,030,1.0
5565.0,025,017,1.0
4302.0,024,009,1.0
2012.0,004,028,1.0
5479.0,012,019,1.0
4113.0,002,001,1.0
2533.0,016,010,1.0
4106.0,024,008,1.0
2108.0,028,006,1.0
2135.0,037,011,1.0
4303.0,025,029,1.0
5018.0,011,051,2.0
4240.0,004,003,1.0
2682.0,002,016,1.0
2139.0,025,001,1.0
4109.0,027,006,1.0
2638.0,029,021,1.0
2629.0,015,046,1.0
2547.0,012,007,1.0
2729.0,002,034,1.0
5501.0,001,015,1.0
2532.0,025,022,1.0
5059.0,015,013,1.0
4240.0,014,021,1.0
5113.0,027,014,1.0
6066.0,016,036,1.0
4254.0,010,013,1.0
4412.0,023,032,1.0
5037.0,012,023,1.0
4004.0,031,014,1.0
2544.0,004,011,1.0
2731.0,013,017,1.0
2013.0,019,008,1.0
2339.0,001,035,1.0
2640.0,024,010,1.0
2512.0,029,081,1.0
4231.0,016,029,1.0
2309.0,024,012,1.0
5564.0,024,020,1.0
5081.0,020,021,1.0
2215.0,023,011,1.0
5485.0,004,006,1.0
2656.0,027,007,1.0
4227.0,023,017,1.0
6031.0,029,030,1.0
4330.0,032,022,1.0
4125.0,004,009,1.0
5189.0,007,046,1.0
7425.0,021,042,1.0
2405.0,010,005,1.0
5052.0,008,011,1.0
2355.0,008,030,1.0
5101.0,008,013,1.0
2024.0,021,015,1.0
2236.0,002,023,1.0
2135.0,026,017,1.0
2604.0,039,016,1.0
2506.0,019,015,1.0
5160.0,020,011,1.0
2690.0,022,016,1.0
4365.0,011,010,1.0
5183.0,022,002,1.0
2683.0,010,013,1.0
4247.0,008,013,1.0
5042.0,026,023,1.0
2127.0,022,040,1.0
2335.0,023,016,1.0
6084.0,023,016,1.0
2242.0,017,016,1.0
5590.0,007,001,1.0
2303.0,025,013,1.0
4103.0,024,012,1.0
5090.0,006,020,1.0
2403.0,018,021,1.0
2580.0,005,019,1.0
4006.0,008,006,1.0
2688.0,039,003,1.0
5055.0,027,006,1.0
2161.0,025,001,1.0
2344.0,026,018,1.0
5049.0,010,012,1.0
2762.0,030,019,1.0
4330.0,020,035,1.0
4127.0,010,013,1.0
4007.0,028,020,1.0
6031.0,010,011,1.0
4230.0,013,020,1.0
2128.0,008,004,1.0
2560.0,014,013,1.0
6054.0,034,002,1.0
